set_code;set_name;set_rarity;set_price;release_date;region;language
SBCB-EN145;Speed Duel: Battle City Box;Common;1.19;;;
MP17-EN041;2017 Mega-Tin Mega Pack;Secret Rare;0;;;
DASA-EN045;Dark Saviors;Super Rare;2.01;;;
EGO1-EN035;Egyptian God Deck: Obelisk the Tormentor;Common;1.23;;;
LEDD-ENB24;Legendary Dragon Decks;Common;1.63;;;
MAGO-EN097;Maximum Gold;Rare;0;;;
SHVI-EN075;Shining Victories;Secret Rare;0;;;
GEIM-EN024;Genesis Impact;Super Rare;1.24;;;
GEIM-EN035;Genesis Impact;Rare;1.14;;;
MP21-EN237;2021 Tin of Ancient Battles;Super Rare;0;;;
GEIM-EN025;Genesis Impact;Rare;1.22;;;
MP21-EN239;2021 Tin of Ancient Battles;Super Rare;0;;;
GEIM-EN027;Genesis Impact;Rare;0.83;;;
OP16-EN013;OTS Tournament Pack 16;Super Rare;0;;;
OP16-PT013;OTS Tournament Pack 16 (POR);Super Rare;0;;;
GEIM-EN034;Genesis Impact;Rare;1.17;;;
GEIM-EN031;Genesis Impact;Super Rare;1.76;;;
MP21-EN238;2021 Tin of Ancient Battles;Super Rare;0;;;
GEIM-EN026;Genesis Impact;Rare;1.13;;;
INFO-EN032;The Infinite Forbidden;Super Rare;0;;;
GEIM-EN029;Genesis Impact;Collector's Rare;7.64;;;
GEIM-EN030;Genesis Impact;Collector's Rare;2.38;;;
GEIM-EN036;Genesis Impact;Rare;1.04;;;
MP22-EN084;2022 Tin of the Pharaoh's Gods;Prismatic Secret Rare;0;;;
LIOV-EN043;Lightning Overdrive;Secret Rare;0;;;
GEIM-EN033;Genesis Impact;Ultra Rare;18.74;;;
RA04-EN097;Quarter Century Stampede;Collector's Rare;0;;;
INFO-EN022;The Infinite Forbidden;Common;0;;;
MP21-EN240;2021 Tin of Ancient Battles;Prismatic Secret Rare;0;;;
GEIM-EN028;Genesis Impact;Rare;0.87;;;
OP16-EN012;OTS Tournament Pack 16;Super Rare;0;;;
OP16-PT012;OTS Tournament Pack 16 (POR);Super Rare;0;;;
SP18-EN012;Star Pack VRAINS;Common;0;;;
SDCL-EN008;Structure Deck: Cyberse Link;Super Rare;1.01;;;
PHRA-EN034;Phantom Rage;Ultra Rare;0;;;
BLVO-EN041;Blazing Vortex;Ultra Rare;0;;;
CYAC-EN038;Cyberstorm Access;Common;0;;;
BLVO-EN076;Blazing Vortex;Common;0;;;
PHRA-EN074;Phantom Rage;Common;0;;;
PHRA-EN059;Phantom Rage;Common;0;;;
PHRA-EN033;Phantom Rage;Super Rare;0;;;
PHRA-EN015;Phantom Rage;Super Rare;0;;;
PHRA-EN032;Phantom Rage;Super Rare;0;;;
PHRA-EN014;Phantom Rage;Super Rare;0;;;
PHRA-EN057;Phantom Rage;Secret Rare;0;;;
PHRA-EN073;Phantom Rage;Common;0;;;
BLMR-EN036;Battles of Legend: Monstrous Revenge;Secret Rare;0;;;
MP24-EN115;25th Anniversary Tin: Dueling Mirrors;Prismatic Secret Rare;0;;;
AGOV-EN012;Age of Overlord;Quarter Century Secret Rare;0;;;
MP18-EN122;2018 Mega-Tin Mega Pack;Common;0;;;
CIBR-EN033;Circuit Break;Common;0;;;
LTGY-EN099;Lord of the Tachyon Galaxy;Super Rare;0;;;
YS15-ENY09;2-Player Starter Deck: Yuya & Declan;Common;4;;;
BP01-EN200;Battle Pack: Epic Dawn;Common;0;;;
LODT-EN037;Light of Destruction;Super Rare;0;;;
YS15-ENF10;Saber Force Starter Deck;Common;1.95;;;
SBCB-EN068;Speed Duel: Battle City Box;Common;1.11;;;
MAZE-EN013;Maze of Memories;Collector's Rare;0;;;
RA03-EN275;Quarter Century Bonanza;Platinum Secret Rare;0;;;
YCSW-EN012;Yu-Gi-Oh! Championship Series 2019 prize card;Super Rare;2023.2;;;
MP22-EN269;2022 Tin of the Pharaoh's Gods;Prismatic Secret Rare;0;;;
RA03-EN273;Quarter Century Bonanza;Platinum Secret Rare;0;;;
BLRR-EN097;Battles of Legend: Relentless Revenge;Ultra Rare;0;;;
LEDD-ENC17;Legendary Dragon Decks;Common;2.32;;;
MACR-EN063;Maximum Crisis;Secret Rare;0;;;
TAMA-EN055;Tactical Masters;Rare;0;;;
MP24-EN223;25th Anniversary Tin: Dueling Mirrors;Ultra Rare;0;;;
DUNE-EN062;Duelist Nexus;Super Rare;0;;;
MP19-EN270;2019 Gold Sarcophagus Tin Mega Pack;Super Rare;0;;;
EXFO-EN050;Extreme Force;Rare;0;;;
SDSB-EN045;Structure Deck: Soulburner;Common;0;;;
DUSA-EN042;Duelist Saga;Ultra Rare;1.12;;;
RA04-EN286;Quarter Century Stampede;Platinum Secret Rare;0;;;
EGS1-EN017;Egyptian God Deck: Slifer the Sky Dragon;Common;1.06;;;
SR06-EN003;Structure Deck: Lair of Darkness;Common;0;;;
DR3-EN196;Dark Revelation Volume 3;Common;0;;;
TLM-EN016;The Lost Millennium;Common;0;;;
LCJW-EN084;Legendary Collection 4: Joey's World Mega Pack;Ultra Rare;0;;;
SBCB-EN168;Speed Duel: Battle City Box;Common;1.14;;;
TP8-EN004;Tournament Pack 8;Super Rare;536.38;;;
TU04-EN006;Turbo Pack: Booster Four;Rare;0;;;
LCJW-EN221;Legendary Collection 4: Joey's World Mega Pack;Common;0;;;
MDP2-EN018;McDonald's Promotional Cards 2;Common;3.34;;;
MP23-EN269;25th Anniversary Tin: Dueling Heroes Mega Pack;Common;0;;;
BLMR-EN094;Battles of Legend: Monstrous Revenge;Ultra Rare;0;;;
GRCR-EN030;The Grand Creators;Rare;0.84;;;
LEDU-EN037;Legendary Duelists;Super Rare;6.36;;;
SGX2-ENC10;Speed Duel GX: Midterm Paradox;Common;0;;;
CRMS-EN028;Crimson Crisis;Common;0;;;
OP03-EN005;OTS Tournament Pack 3;Super Rare;0;;;
SDFC-EN022;Structure Deck: Freezing Chains;Common;2.47;;;
VASM-EN033;Valiant Smashers;Super Rare;0;;;
AST-087;Ancient Sanctuary;Common;1.01;;;
DR2-EN200;Dark Revelation Volume 2;Common;0;;;
REDU-EN034;Return of the Duelist;Rare;0;;;
DT07-EN049;Duel Terminal 7a;Duel Terminal Normal Parallel Rare;0;;;
HA07-EN029;Hidden Arsenal 7: Knight of Stars;Super Rare;0;;;
YS15-END18;2-Player Starter Deck: Yuya & Declan;Common;4.1;;;
BP01-EN088;Battle Pack: Epic Dawn;Common;0;;;
DB1-EN075;Dark Beginning 1;Rare;0;;;
DB14;Dark Beginning 1;Common;0;;;
YS15-ENL25;Dark Legion Starter Deck;Common;2.12;;;
DTP1-EN016;Duel Terminal - Preview Wave 1;Duel Terminal Normal Parallel Rare;0;;;
DT01-EN046;Duel Terminal 1;Duel Terminal Normal Parallel Rare;0;;;
HAC1-EN027;Hidden Arsenal: Chapter 1;Common;0;;;
LCYW-EN095;Legendary Collection 3: Yugi's World Mega Pack;Ultra Rare;0;;;
PSV-011;Pharaoh's Servant;Super Rare;9.87;;;
PSV-E011;Pharaoh's Servant;Super Rare;16.48;;;
PSV-EN011;Pharaoh's Servant;Super Rare;0;;;
RP02-EN005;Retro Pack 2;Common;0;;;
SDRL-EN033;Rise of the Dragon Lords Structure Deck;Common;1.34;;;
YS15-ENF25;Saber Force Starter Deck;Common;1.37;;;
SS04-ENB26;Speed Duel Starter Decks: Match of the Millennium;Common;2;;;
STP3-EN029;Speed Duel Tournament Pack 3;Common;0;;;
SBAD-EN043;Speed Duel: Attack from the Deep;Super Rare;4.58;;;
SBC1-END19;Speed Duel: Streets of Battle City;Common;0;;;
YSD-EN035;Starter Deck 2006;Common;0;;;
YS11-EN033;Starter Deck: Dawn of the Xyz;Common;0;;;
5DS3-EN031;Starter Deck: Duelist Toolbox;Common;1.3;;;
YSDJ-EN033;Starter Deck: Jaden Yuki;Common;3.72;;;
SKE-045;Starter Deck: Kaiba Evolution;Common;1.32;;;
YS12-EN033;Starter Deck: Xyz Symphony;Common;1.52;;;
5DS2-EN034;Starter Deck: Yu-Gi-Oh! 5D's 2009;Common;0;;;
SD3-EN027;Structure Deck: Blaze of Destruction;Common;1.3;;;
SD4-EN026;Structure Deck: Fury from the Deep;Common;1.47;;;
SD8-EN029;Structure Deck: Lord of the Storm;Common;1.41;;;
SD2-EN024;Structure Deck: Zombie Madness;Common;1.84;;;
YS14-EN034;Super Starter: Space-Time Showdown;Common;0;;;
YS13-EN038;Super Starter: V for Victory;Common;0;;;
SDZW-EN033;Zombie World Structure Deck;Common;0;;;
DT06-EN098;Duel Terminal 6b;Duel Terminal Normal Parallel Rare;0;;;
HA06-EN058;Hidden Arsenal 6: Omega Xyz;Super Rare;0;;;
LVAL-EN080;Legacy of the Valiant;Short Print;0;;;
MVP1-ENSV1;Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack Secret Edition;Ultra Rare;1.9;;;
MVP1-ENSE1;Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack Special Edition;Ultra Rare;2.12;;;
MVP1-ENGV1;Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack: Gold Edition;Gold Secret Rare;4.26;;;
LC5D-EN183;Legendary Collection 5D's Mega Pack;Secret Rare;0;;;
LEHD-ENB05;Legendary Hero Decks;Common;1.31;;;
OP18-EN015;OTS Tournament Pack 18;Common;1.39;;;
OP18-PT015;OTS Tournament Pack 18 (POR);Common;0;;;
STOR-EN016;Storm of Ragnarok;Rare;0;;;
MP17-EN051;2017 Mega-Tin Mega Pack;Common;0;;;
SHVI-EN093;Shining Victories;Common;0;;;
TOCH-EN034;Toon Chaos;Rare;0;;;
BP03-EN029;Battle Pack 3: Monster League;Common;0;;;
FOTB-EN028;Force of the Breaker;Common;0;;;
SBAD-EN007;Speed Duel: Attack from the Deep;Common;1.02;;;
MP20-EN139;2020 Tin of Lost Memories Mega Pack;Common;1.24;;;
RIRA-EN079;Rising Rampage;Common;0;;;
SR08-EN041;Structure Deck: Order of the Spellcasters;Super Rare;2.15;;;
BLCR-EN017;Battles of Legend: Crystal Revenge;Ultra Rare;0;;;
MP24-EN176;25th Anniversary Tin: Dueling Mirrors;Ultra Rare;0;;;
OP25-EN008;OTS Tournament Pack 25;Super Rare;0;;;
PHHY-EN050;Photon Hypernova;Common;0;;;
BLCR-EN018;Battles of Legend: Crystal Revenge;Ultra Rare;0;;;
MP19-EN251;2019 Gold Sarcophagus Tin Mega Pack;Common;0;;;
DASA-EN021;Dark Saviors;Secret Rare;0;;;
PGLD-EN014;Premium Gold;Gold Secret Rare;5.81;;;
INOV-ENSE1;Invasion: Vengeance: Special Edition;Super Rare;18.72;;;
JUMP-EN075;Weekly Shonen Jump January 2016 membership promotional card;Ultra Rare;16.09;;;
JOTL-EN001;Judgment of the Light;Rare;0;;;
BLC1-EN032;Battles of Legend: Chapter 1;Ultra Rare;0;;;
DR04-EN219;Dark Revelation Volume 4;Common;3.98;;;
DP03-EN017;Duelist Pack: Jaden Yuki 2;Common;0;;;
EOJ-EN039;Enemy of Justice;Common;0;;;
SDHS-EN029;HERO Strike Structure Deck;Common;0;;;
LCGX-EN089;Legendary Collection 2: The Duel Academy Years Mega Pack;Common;3.31;;;
LDS3-EN108;Legendary Duelists: Season 3;Common;1.23;;;
RYMP-EN024;Ra Yellow Mega Pack;Secret Rare;0;;;
PHNI-EN028;Phantom Nightmare;Common;0;;;
MP22-EN043;2022 Tin of the Pharaoh's Gods;Common;0;;;
BLVO-EN078;Blazing Vortex;Super Rare;0;;;
DR3-EN082;Dark Revelation Volume 3;Common;0;;;
RDS-EN022;Rise of Destiny;Common;0;;;
LTGY-EN011;Lord of the Tachyon Galaxy;Common;0;;;
POTE-EN088;Power of the Elements;Common;0.82;;;
ORCS-EN016;Order of Chaos;Common;0;;;
SP13-EN018;Star Pack 2013;Common;0;;;
MP22-EN251;2022 Tin of the Pharaoh's Gods;Ultra Rare;0;;;
DR2-EN100;Dark Revelation Volume 2;Common;0;;;
IOC-099;Invasion of Chaos;Short Print;1.87;;;
IOC-EN099;Invasion of Chaos;Common;0;;;
LCYW-EN277;Legendary Collection 3: Yugi's World Mega Pack;Common;1.34;;;
PTDN-EN040;Phantom Darkness;Common;0;;;
IGAS-EN041;Ignition Assault;Rare;0;;;
PHNI-EN064;Phantom Nightmare;Common;0;;;
LED5-EN026;Legendary Duelists: Immortal Destiny;Super Rare;2.04;;;
LDS3-EN056;Legendary Duelists: Season 3;Common;1.21;;;
MZMI-EN052;Maze of Millennia;Rare;0;;;
LED5-EN023;Legendary Duelists: Immortal Destiny;Ultra Rare;1.55;;;
LDS3-EN049;Legendary Duelists: Season 3;Common;1.21;;;
MZMI-EN050;Maze of Millennia;Rare;0;;;
CT06-ENS02;Collectible Tins Exclusive 2009;Secret Rare;8.34;;;
LC5D-EN146;Legendary Collection 5D's Mega Pack;Super Rare;0;;;
LDS3-EN038;Legendary Duelists: Season 3;Ultra Rare;0;;;
MZMI-EN048;Maze of Millennia;Rare;0;;;
RGBT-EN019;Raging Battle;Ultimate Rare;0;;;
LC5D-EN147;Legendary Collection 5D's Mega Pack;Super Rare;0;;;
LED5-EN000;Legendary Duelists: Immortal Destiny;Rare;0;;;
LDS3-EN039;Legendary Duelists: Season 3;Common;0.91;;;
RGBT-EN020;Raging Battle;Ultimate Rare;0;;;
LC5D-EN151;Legendary Collection 5D's Mega Pack;Super Rare;0;;;
LDS3-EN042;Legendary Duelists: Season 3;Common;1.22;;;
SOVR-EN024;Stardust Overdrive;Ultimate Rare;0;;;
ANPR-EN017;Ancient Prophecy;Ultimate Rare;0;;;
CT06-ENS03;Collectible Tins Exclusive 2009;Secret Rare;33.34;;;
LC5D-EN149;Legendary Collection 5D's Mega Pack;Super Rare;0;;;
LDS3-EN041;Legendary Duelists: Season 3;Common;1.09;;;
ANPR-EN016;Ancient Prophecy;Ultimate Rare;0;;;
LC5D-EN148;Legendary Collection 5D's Mega Pack;Super Rare;0;;;
LDS3-EN040;Legendary Duelists: Season 3;Common;0.98;;;
MZTM-EN044;Maze of the Master;Super Rare;0;;;
LC5D-EN156;Legendary Collection 5D's Mega Pack;Common;1.41;;;
LED5-EN056;Legendary Duelists: Immortal Destiny;Common;0;;;
LDS3-EN055;Legendary Duelists: Season 3;Common;0.94;;;
SOVR-EN087;Stardust Overdrive;Rare;0;;;
LC5D-EN152;Legendary Collection 5D's Mega Pack;Super Rare;0;;;
LDS3-EN043;Legendary Duelists: Season 3;Common;0.97;;;
SOVR-EN025;Stardust Overdrive;Ultimate Rare;0;;;
CT06-EN004;Collectible Tins 2009 Wave 2;Secret Rare;5.75;;;
LC5D-EN150;Legendary Collection 5D's Mega Pack;Super Rare;0;;;
LED5-EN028;Legendary Duelists: Immortal Destiny;Common;0;;;
LDS3-EN044;Legendary Duelists: Season 3;Common;1.13;;;
SOVR-EN026;Stardust Overdrive;Ultimate Rare;0;;;
ABPF-EN088;Absolute Powerforce;Secret Rare;0;;;
LC5D-EN153;Legendary Collection 5D's Mega Pack;Super Rare;0;;;
LDS3-EN048;Legendary Duelists: Season 3;Common;0.91;;;
MZMI-EN049;Maze of Millennia;Rare;0;;;
MZMI-EN034;Maze of Millennia;Super Rare;0;;;
MP24-EN274;25th Anniversary Tin: Dueling Mirrors;Ultra Rare;0;;;
MZMI-EN027;Maze of Millennia;Rare;0;;;
MP24-EN275;25th Anniversary Tin: Dueling Mirrors;Ultra Rare;0;;;
MZMI-EN029;Maze of Millennia;Rare;0;;;
MZMI-EN028;Maze of Millennia;Super Rare;0;;;
MZMI-EN022;Maze of Millennia;Common;0;;;
BLTR-EN031;Battles of Legend: Terminal Revenge;Ultra Rare;0;;;
MZMI-EN031;Maze of Millennia;Super Rare;0;;;
MZMI-EN032;Maze of Millennia;Rare;0;;;
MP24-EN238;25th Anniversary Tin: Dueling Mirrors;Ultra Rare;0;;;
AGOV-EN031;Age of Overlord;Common;0;;;
MZMI-EN033;Maze of Millennia;Super Rare;0;;;
MP24-EN276;25th Anniversary Tin: Dueling Mirrors;Ultra Rare;0;;;
MZMI-EN030;Maze of Millennia;Rare;0;;;
DB1-EN249;Dark Beginning 1;Common;0;;;
LON-055;Labyrinth of Nightmare;Short Print;2.13;;;
LON-E055;Labyrinth of Nightmare;Short Print;0.00;;;
LON-EN055;Labyrinth of Nightmare;Common;0;;;
SS05-ENA08;Speed Duel Starter Decks: Twisted Nightmares;Common;1.27;;;
LC5D-EN158;Legendary Collection 5D's Mega Pack;Rare;0;;;
LDS3-EN057;Legendary Duelists: Season 3;Common;0.95;;;
SOVR-EN070;Stardust Overdrive;Common;0;;;
LC5D-EN155;Legendary Collection 5D's Mega Pack;Rare;0;;;
LDS3-EN054;Legendary Duelists: Season 3;Common;0.94;;;
SOVR-EN046;Stardust Overdrive;Super Rare;0;;;
AST-043;Ancient Sanctuary;Common;1.02;;;
BP02-EN145;Battle Pack 2: War of the Giants;Common;0;;;
BP03-EN150;Battle Pack 3: Monster League;Common;0;;;
DR2-EN155;Dark Revelation Volume 2;Common;0;;;
DT02-EN041;Duel Terminal 2;Duel Terminal Normal Parallel Rare;4.22;;;
SGX1-END12;Speed Duel GX: Duel Academy Box;Common;0;;;
YSDS-EN028;Starter Deck: Syrus Truesdale;Common;1.23;;;
DREV-EN001;Duelist Revolution;Common;0;;;
PSV-014;Pharaoh's Servant;Common;1.5;;;
PSV-E014;Pharaoh's Servant;Common;1.6;;;
PSV-EN014;Pharaoh's Servant;Common;0;;;
WSUP-EN042;World Superstars;Prismatic Secret Rare;0;;;
MP17-EN196;2017 Mega-Tin Mega Pack;Common;0;;;
BLRR-EN078;Battles of Legend: Relentless Revenge;Ultra Rare;0;;;
MAGO-EN126;Maximum Gold;Rare;0;;;
RATE-EN032;Raging Tempest;Common;0;;;
MRL-065;Magic Ruler;Common;1.46;;;
MRL-E065;Magic Ruler;Common;6.26;;;
SRL-065;Spell Ruler;Common;1.07;;;
SRL-EN065;Spell Ruler;Common;1.47;;;
CRMS-EN069;Crimson Crisis;Common;0;;;
DP11-EN021;Duelist Pack: Crow;Common;0;;;
CT13-EN004;2016 Mega-Tins;Ultra Rare;3.73;;;
LDS3-EN092;Legendary Duelists: Season 3;Common;0.93;;;
TDIL-EN052;The Dark Illusion;Super Rare;0;;;
LDS3-EN091;Legendary Duelists: Season 3;Ultra Rare;0;;;
SHVI-ENSE1;Shining Victories: Special Edition;Super Rare;14.22;;;
JUMP-EN070;Weekly Shonen Jump November 2014 membership promotional card;Ultra Rare;47.63;;;
CRV-EN031;Cybernetic Revolution;Common;0;;;
DR04-EN031;Dark Revelation Volume 4;Common;2.6;;;
SD6-EN015;Structure Deck: Spellcaster's Judgment;Common;1.44;;;
BLTR-EN027;Battles of Legend: Terminal Revenge;Secret Rare;0;;;
DP09-EN014;Duelist Pack: Yusei 2;Super Rare;0;;;
SR14-EN033;Structure Deck: Fire Kings;Super Rare;0;;;
MP15-EN243;2015 Mega-Tin Mega Pack;Common;0;;;
LEDD-ENC22;Legendary Dragon Decks;Common;1.31;;;
PEVO-EN042;Pendulum Evolution;Super Rare;0;;;
SECE-EN079;Secrets of Eternity;Common;0;;;
SUDA-EN047;Supreme Darkness;Super Rare;0;;;
SDDC-EN003;Dragons Collide Structure Deck;Super Rare;2.31;;;
PGLD-EN041;Premium Gold;Gold Rare;2.61;;;
RA04-EN177;Quarter Century Stampede;Platinum Secret Rare;0;;;
SR02-EN015;Rise of the True Dragons Structure Deck;Common;0;;;
ALIN-EN048;Alliance Insight;Quarter Century Secret Rare;0;;;
OP17-PT032;OTS Tournament Pack 17 (POR);Common;0;;;
REDU-EN091;Return of the Duelist;Rare;0;;;
BROL-EN021;Brothers of Legend;Secret Rare;1.45;;;
DR3-EN043;Dark Revelation Volume 3;Super Rare;0;;;
LCYW-EN175;Legendary Collection 3: Yugi's World Mega Pack;Rare;0;;;
SOD-EN043;Soul of the Duelist;Super Rare;0;;;
SD7-EN023;Structure Deck: Invincible Fortress;Common;1.23;;;
YGLD-ENB24;Yugi's Legendary Decks;Common;1.07;;;
SBLS-ENS01;Speed Duel: Arena of Lost Souls;Super Rare;2.5;;;
MP22-EN110;2022 Tin of the Pharaoh's Gods;Common;0;;;
LIOV-EN093;Lightning Overdrive;Super Rare;0;;;
BROL-EN078;Brothers of Legend;Ultra Rare;0.87;;;
SR01-EN003;Emperor of Darkness Structure Deck;Super Rare;0;;;
DP03-EN029;Duelist Pack: Jaden Yuki 2;Super Rare;2.47;;;
LCGX-EN113;Legendary Collection 2: The Duel Academy Years Mega Pack;Common;1.58;;;
MP16-EN012;2016 Mega-Tin Mega Pack;Common;0;;;
BLCR-EN078;Battles of Legend: Crystal Revenge;Ultra Rare;0;;;
CROS-EN013;Crossed Souls;Common;0;;;
FUEN-EN019;Fusion Enforcers;Super Rare;8.28;;;
JUSH-EN012;Justice Hunters;Rare;0;;;
RA04-EN014;Quarter Century Stampede;Collector's Rare;0;;;
MP19-EN227;2019 Gold Sarcophagus Tin Mega Pack;Common;0;;;
SOFU-EN093;Soul Fusion;Common;0;;;
MP16-EN013;2016 Mega-Tin Mega Pack;Common;0;;;
CROS-EN015;Crossed Souls;Common;0;;;
FUEN-EN018;Fusion Enforcers;Super Rare;2.09;;;
SP15-EN022;Star Pack ARC-V;Common;0;;;
LART-EN015;The Lost Art Promotion (series);Common;0;;;
LART-EN015;The Lost Art Promotion O;Ultra Rare;0;;;
NECH-EN014;The New Challengers;Super Rare;0;;;
NECH-ENS02;The New Challengers: Super Edition;Super Rare;15.9;;;
MP16-EN011;2016 Mega-Tin Mega Pack;Common;0;;;
CROS-EN012;Crossed Souls;Common;0;;;
SP17-EN015;Star Pack Battle Royal;Common;0;;;
ROTD-EN022;Rise of the Duelist;Common;1.36;;;
CROS-EN014;Crossed Souls;Rare;0;;;
SAST-EN068;Savage Strike;Common;0;;;
RA01-EN003;25th Anniversary Rarity Collection;Super Rare;0;;;
DUDE-EN028;Duel Devastator;Ultra Rare;5.91;;;
DP10-EN007;Duelist Pack: Yusei 3;Rare;0;;;
DREV-EN002;Duelist Revolution;Ultimate Rare;0;;;
DUSA-EN083;Duelist Saga;Ultra Rare;10.28;;;
ETCO-EN100;Eternity Code;Starlight Rare;821.87;;;
LC5D-EN018;Legendary Collection 5D's Mega Pack;Common;3.36;;;
LEHD-ENC12;Legendary Hero Decks;Common;3.19;;;
NKRT-EN039;Noble Knights of the Round Table Power-Up Pack;Platinum Rare;0;;;
ORCS-ENSE1;Order of Chaos: Special Edition;Super Rare;7.5;;;
PGLD-EN036;Premium Gold;Gold Rare;11.44;;;
RA04-EN004;Quarter Century Stampede;Quarter Century Secret Rare;0;;;
YS17-EN020;Starter Deck: Link Strike;Common;0;;;
SDAZ-EN018;Structure Deck: Albaz Strike;Common;2.34;;;
SDWD-EN018;Structure Deck: Blue-Eyes White Destiny;2;0;;;
SDPL-EN017;Structure Deck: Powercode Link;Common;0;;;
SDCH-EN017;Structure Deck: Spirit Charmers;Common;2.71;;;
SDSE-EN018;Synchron Extreme Structure Deck;Common;2.94;;;
BP02-EN164;Battle Pack 2: War of the Giants;Common;0;;;
BP01-EN086;Battle Pack: Epic Dawn;Common;0;;;
PHSW-EN046;Photon Shockwave;Common;0;;;
SP13-EN034;Star Pack 2013;Common;0;;;
YS18-EN031;Starter Deck: Codebreaker;Common;0;;;
YS12-EN020;Starter Deck: Xyz Symphony;Common;1.13;;;
YS14-EN025;Super Starter: Space-Time Showdown;Common;0;;;
YS13-EN025;Super Starter: V for Victory;Common;0;;;
DREV-EN008;Duelist Revolution;Rare;0;;;
RA01-EN029;25th Anniversary Rarity Collection;Super Rare;0;;;
LED7-EN001;Legendary Duelists: Rage of Ra;Ultra Rare;59.14;;;
CT08-EN016;Collectible Tins 2011 Wave 2;Super Rare;5.47;;;
DT07-EN059;Duel Terminal 7b;Duel Terminal Normal Parallel Rare;0;;;
LODT-EN082;Light of Destruction;Secret Rare;0;;;
SDLI-EN011;Realm of Light Structure Deck;Common;1.1;;;
SR02-EN021;Rise of the True Dragons Structure Deck;Common;0;;;
SR01-EN000;Emperor of Darkness Structure Deck;Ultra Rare;0;;;
RA04-EN018;Quarter Century Stampede;Collector's Rare;0;;;
DUAD-EN017;Duelist's Advance;Starlight Rare;0;;;
BROL-EN077;Brothers of Legend;Ultra Rare;1.03;;;
SR01-EN002;Emperor of Darkness Structure Deck;Super Rare;0;;;
OP11-EN024;OTS Tournament Pack 11;Common;0;;;
OP11-PT024;OTS Tournament Pack 11 (POR);Common;0.00;;;
PHSW-EN079;Photon Shockwave;Rare;0;;;
SDFC-EN037;Structure Deck: Freezing Chains;Common;1.08;;;
MP23-EN130;25th Anniversary Tin: Dueling Heroes Mega Pack;Common;0;;;
POTE-EN034;Power of the Elements;Super Rare;0;;;
DB2-EN031;Dark Beginning 2;Common;0;;;
LON-099;Labyrinth of Nightmare;Common;1.18;;;
LON-E099;Labyrinth of Nightmare;Common;2.94;;;
LON-EN099;Labyrinth of Nightmare;Common;2.28;;;
SDWS-EN024;Warriors' Strike Structure Deck;Common;0;;;
MGED-EN129;Maximum Gold: El Dorado;Rare;1.01;;;
SESL-EN036;Secret Slayers;Secret Rare;0;;;
CROS-EN044;Crossed Souls;Secret Rare;0;;;
SDSH-EN043;Structure Deck: Shaddoll Showdown;Common;1.24;;;
MP21-EN246;2021 Tin of Ancient Battles;Prismatic Secret Rare;0;;;
SDSH-EN045;Structure Deck: Shaddoll Showdown;Ultra Rare;1.57;;;
MP15-EN094;2015 Mega-Tin Mega Pack;Ultra Rare;3.79;;;
MP21-EN247;2021 Tin of Ancient Battles;Prismatic Secret Rare;1.64;;;
DUPO-EN090;Duel Power;Ultra Rare;2.17;;;
DUEA-EN049;Duelist Alliance;Ultimate Rare;74.38;;;
RA04-EN229;Quarter Century Stampede;Platinum Secret Rare;0;;;
SDSH-EN046;Structure Deck: Shaddoll Showdown;Ultra Rare;1.34;;;
MP15-EN174;2015 Mega-Tin Mega Pack;Super Rare;0;;;
DUPO-EN096;Duel Power;Ultra Rare;2.36;;;
SDSH-EN024;Structure Deck: Shaddoll Showdown;Common;1.74;;;
NECH-EN064;The New Challengers;Super Rare;0;;;
NECH-ENS11;The New Challengers: Super Edition;Super Rare;2.84;;;
MP15-EN160;2015 Mega-Tin Mega Pack;Secret Rare;0;;;
SDSH-EN041;Structure Deck: Shaddoll Showdown;Ultra Rare;0;;;
NECH-EN048;The New Challengers;Secret Rare;0;;;
MP15-EN161;2015 Mega-Tin Mega Pack;Secret Rare;0;;;
SDSH-EN048;Structure Deck: Shaddoll Showdown;Super Rare;0;;;
NECH-EN049;The New Challengers;Secret Rare;0;;;
MP15-EN221;2015 Mega-Tin Mega Pack;Super Rare;0;;;
SECE-EN047;Secrets of Eternity;Super Rare;0;;;
SECE-ENS10;Secrets of Eternity: Super Edition;Super Rare;6.75;;;
SDSH-EN042;Structure Deck: Shaddoll Showdown;Common;1.12;;;
MP15-EN093;2015 Mega-Tin Mega Pack;Ultra Rare;8.14;;;
DUEA-EN048;Duelist Alliance;Ultra Rare;11.24;;;
RA04-EN052;Quarter Century Stampede;Collector's Rare;0;;;
SHVA-EN049;Shadows in Valhalla;Secret Rare;8.96;;;
SDSH-EN047;Structure Deck: Shaddoll Showdown;Super Rare;4.31;;;
RIRA-EN060;Rising Rampage;Common;0;;;
CT14-EN009;2017 Mega-Tins;Super Rare;8.42;;;
RA01-EN026;25th Anniversary Rarity Collection;Super Rare;0;;;
MAMA-EN063;Magnificent Mavens;Ultra Rare;0;;;
MAGO-EN026;Maximum Gold;Premium Gold Rare;0;;;
CT12-EN003;2015 Mega-Tins;Super Rare;3.19;;;
RA04-EN226;Quarter Century Stampede;Platinum Secret Rare;0;;;
EXVC-EN028;Extreme Victory;Common;1.61;;;
